"PLAN_CTRL_CD","PLAN_CTRL_NUM","MMS_COMPANY_NUM","BUS_ASC_NAME","PLAN_TYPE_CODE","PLAN_RECV_DATE","PLAN_COORDINATOR"
"S","2509","00040","Texaco Inc.","DOCD",7/24/1990,"DT"
"S","2510","00730","Walter Oil & Gas Corporation","DOCD",7/27/1990,"MT"
"S","2511","00250","ORYX ENERGY COMPANY","DOCD",7/30/1990,"AG"
"S","2512","00114","BP America Production Company","DOCD",8/1/1990,"WW"
"S","2513","00021","MOBIL NOC INC.","DOCD",8/1/1990,"DT"
"S","2514","02225","Freeport-McMoRan Sulphur Inc.","POE",8/7/1990,"MT"
"S","2515","00078","Chevron U.S.A. Inc.","POE",8/7/1990,"AG"
"S","2516","00001","Conoco Inc.","POE",8/7/1990,"WW"
"S","2517","00689","Shell Offshore Inc.","POE",8/8/1990,"DT"
"S","2518","01046","The Houston Exploration Company","POE",8/10/1990,"MT"
"S","2519","00968","Union Texas Petroleum Corporation","DOCD",8/15/1990,"AG"
"S","2520","02225","Freeport-McMoRan Sulphur Inc.","POE",8/17/1990,"WW"
"S","2521","02225","Freeport-McMoRan Sulphur Inc.","POE",8/21/1990,"DT"
"S","2522","01102","Century Offshore Management Corporation","POE",8/22/1990,"MT"
"S","2523","01103","EOG Resources, Inc.","POE",8/22/1990,"AG"
"S","2524","01500","TOTAL E&P USA, INC.","DOCD",8/22/1990,"WW"
"S","2525","00689","Shell Offshore Inc.","POE",8/23/1990,"DT"
"S","2526","00282","Dominion Exploration & Production, Inc.","POE",8/27/1990,"MT"
"S","2527","01374","Transco Exploration and Production Company","POE",8/27/1990,"AG"
"S","2528","00748","SOCO Offshore, Inc.","POE",8/27/1990,"WW"
"S","2529","00078","Chevron U.S.A. Inc.","POE",8/29/1990,"DT"
"S","2530","00021","MOBIL NOC INC.","DOCD",8/29/1990,"MT"
"N","2166","00078","Chevron U.S.A. Inc.","DOCD",6/10/1985,"ES"
"N","2170","00083","The Louisiana Land and Exploration Company","POE",6/12/1985,"ES"
"N","2184","00748","SOCO Offshore, Inc.","POE",6/21/1985,"ES"
"N","2185","00035","Kerr-McGee Corporation","POE",6/21/1985,"ES"
"N","5489","00730","Walter Oil & Gas Corporation","DOCD",8/14/1996,"MT"
"N","5490","00818","Mariner Energy, Inc.","POE",8/14/1996,"GN"
"N","5491","01689","Murphy Exploration & Production Company","POE",8/15/1996,"AG"
"N","5492","00689","Shell Offshore Inc.","DOCD",8/19/1996,"MT"
"N","5493","01364","Newfield Exploration Company","POE",8/19/1996,"GN"
"N","5494","01956","Seagull Energy E&P Inc.","DOCD",8/21/1996,"AG"
"N","5495","00771","Texaco Exploration and Production Inc.","POE",8/21/1996,"MT"
"N","5496","01689","Murphy Exploration & Production Company","POE",8/22/1996,"GN"
"N","5497","00250","ORYX ENERGY COMPANY","POE",8/22/1996,"AG"
"N","5498","00724","Marathon Oil Company","POE",8/23/1996,"MT"
"N","5499","01548","Tana Oil and Gas Corporation","DOCD",8/27/1996,"GN"
